edges,precision,recall,recovery,relevance,f1rprr
7500,0.013482831036874593,0.04709169454955611,0.1105783470153534,0.28121243913624633,0.03703602235166891
7600,0.013522890034264413,0.04733810338961261,0.11007778729910185,0.28140019697852503,0.03713625127769073
7700,0.01291367110579372,0.04701956690862192,0.10990780729060148,0.279756850809307,0.03591369565711464
7800,0.013135366091716992,0.047387818315658366,0.10948176213849516,0.28000157234888845,0.0363840881078559
7900,0.012993992441314118,0.047163419655771234,0.10956144512729273,0.279766378403308,0.036080495201318306
8000,0.013025362959743578,0.04713543608195902,0.10617912030598446,0.2787031380351332,0.03603770870357749
8100,0.012936439036663697,0.04576688604867895,0.10359403012545754,0.26875686967270634,0.035547723973572684
8200,0.013120278895979203,0.045891184856718475,0.10256976622215537,0.26599717255941335,0.035868819673575296
8300,0.013132393482734173,0.045921197262589024,0.10148987742148954,0.265075827515995,0.03585844890150243
8400,0.013935608779430635,0.04733334876789376,0.10281417821693395,0.27028059586648523,0.037625275686699
8500,0.01410702697159379,0.04760794003757435,0.10280144485976994,0.2702913003375657,0.037979938343113466
8600,0.014188448752514737,0.048100137094347385,0.10326869705856273,0.2735092917322138,0.03823744889297103
8700,0.014260411251726992,0.04782863144110294,0.10183134881443885,0.27030025022287946,0.03825849925748089
8800,0.014348169577310582,0.048247876030035365,0.10185514814470244,0.27376053530804545,0.03850141197366552
8900,0.014117125944473279,0.047310970962021914,0.099692030249419,0.2704727126921303,0.037842659140196806
9000,0.013591057022829076,0.045795598185465976,0.09819168634221147,0.2661715711905408,0.0365780866814939
9100,0.013957181028239523,0.04772329953662831,0.09861428027376783,0.2747894717921734,0.03760052267648881
9200,0.013924541083399113,0.047579360944211016,0.09868011235840701,0.2738859448177742,0.03751708984580549
9300,0.013991451757802422,0.0472517868434055,0.09831915204949031,0.2713737778214763,0.037561737945060784
9400,0.013800073599467064,0.04686140119354838,0.09768327134071986,0.26953102422672975,0.03712289363805097
9500,0.014022352811730747,0.04770874064762088,0.09893032814287808,0.2726298467897704,0.037717584944817056
9600,0.014131358180329371,0.047409619123707405,0.09884960925631127,0.272491837598345,0.03786316037744923
9700,0.014222352258700116,0.04679970655179199,0.0981275616880087,0.268193645628709,0.037879154349541554
9800,0.014197908078694262,0.046768919759316324,0.09795560538796966,0.2685836759304121,0.03782628488156726
9900,0.014215484689232984,0.04662770611494005,0.09765670563678039,0.2679228597571366,0.037819812113698524
