edges,iterations,precision,recall,f1rp,recovery,relevance,f1rr,f1rprr
3500,14,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
3500,15,0.00691561384323234,0.009514629347819442,0.008009559160614308,0.11433609023940978,0.06412425023596671,0.08216633501857065,0.014596276029919484
3500,16,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
3500,17,0.00691561384323234,0.009514629347819442,0.008009559160614308,0.11433609023940978,0.06412425023596671,0.08216633501857065,0.014596276029919484
3500,18,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
3500,19,0.0068446192977095945,0.009434032546229851,0.007933379476407387,0.11194629097783959,0.06425865252104032,0.08164944376841496,0.014461612125846028
4000,1,0.007104465019703841,0.00923946142150623,0.008032516630090043,0.11181415618619096,0.05064257504678805,0.06971156877250953,0.014405194493576867
4000,2,0.006883981552386505,0.009781883926168987,0.00808098548280973,0.12953401907090667,0.056686584029501476,0.07886174713742944,0.014659779249179664
4000,3,0.006933917139385485,0.009760705406075999,0.008107990740537235,0.1281899739907589,0.05543017393867092,0.07739447588542776,0.014678259437657442
4000,4,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,5,0.0067319541574947,0.009260685290716017,0.007796400218484347,0.126919552853221,0.0550275500919342,0.0767703573096378,0.01415526497638137
4000,6,0.006828924595782987,0.009716036554534182,0.008020578639982255,0.12963032009629605,0.056514400528099515,0.07871273282351368,0.014557766858575735
4000,7,0.006933917139385485,0.009760705406075999,0.008107990740537235,0.1281899739907589,0.05543017393867092,0.07739447588542776,0.014678259437657442
4000,8,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,9,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,10,0.006805464060322732,0.009314394700283347,0.007864681610157673,0.1273834223088037,0.05545293423746813,0.0772689269647094,0.014276277468059038
4000,11,0.006933917139385485,0.009760705406075999,0.008107990740537235,0.1281899739907589,0.05543017393867092,0.07739447588542776,0.014678259437657442
4000,12,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,13,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,14,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,15,0.00688882481154576,0.00979827499863801,0.008089913848273756,0.12961413393163615,0.05666939160322107,0.07885994311085565,0.01467443807633791
4000,16,0.007336744270841798,0.010174549452390439,0.008525705591264967,0.12919064523431745,0.05573266808637333,0.07787162387927006,0.015368774548403043
4000,17,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,18,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4000,19,0.00686846712987938,0.009417688648127616,0.00794356701493107,0.1273632881257579,0.05562213024454491,0.0774293106368537,0.014408906783544603
4500,1,0.006776606852439751,0.008528788494099692,0.007552401652296167,0.1246515556308757,0.04952492945438672,0.07088625649985661,0.013650449748289422
4500,2,0.006867742906012479,0.009470165188826643,0.007961687557157352,0.14337916854854837,0.05375835657126921,0.07819747623432176,0.01445194790986305
4500,3,0.006765078129516593,0.009095444523573974,0.007759062443339066,0.1374305019500888,0.0539932895544863,0.0775277182327902,0.014106345721786172
4500,4,0.007345397274839895,0.009946081983265942,0.008450164662571364,0.13970448488497952,0.05417877249377334,0.07807809302643344,0.015249879293403712
4500,5,0.00676358475630695,0.009091028551946106,0.007756473265871029,0.1373287981801125,0.0539811610235752,0.07749902826378124,0.014101591805191138
